X,Y,Class,NEA
264068.737399149,-234314.069366494,"7",
274349.10112972,-230947.932569759,"7",
270346.12764171,-219666.825467185,"7",
261248.460623506,-217392.408712634,"7",
255516.930402037,-217028.502031906,"7",
286903.881614842,-219575.848797003,"7",
284811.418200655,-214026.271915899,"7",
278988.911309004,-210114.275098071,"7",
281718.211414465,-212024.785171894,"7",
275895.704522815,-206930.091641699,"7",
286903.881614842,-206930.091641699,"7",
296274.478643592,-208203.765024248,"7",
301278.195503605,-204382.744876602,"7",
305463.122331979,-201471.491430777,"7",
306463.865703981,-197968.889628768,"7",
305872.517347798,-195830.93787949,"7",
305417.633996888,-191918.941061662,"7",
291907.598474854,-206111.301610061,"7",
288495.973343028,-200334.283053501,"7",
292135.040150309,-194102.381146031,"7",
291953.086809945,-189189.640956201,"7",
298685.360403416,-186460.34085074,"7",
300868.800487785,-183094.204054004,"7",
304735.308970522,-165399.241703597,"7",
311922.465914904,-165171.800028142,"7",
315516.044387094,-162124.081577043,"7",
317926.926146918,-168583.425159968,"7",
317244.601120553,-176498.395465806,"7",
312468.325935996,-175497.652093803,"7",
309511.584155079,-175406.675423621,"7",
310148.420846354,-170039.051882881,"7",
319564.506210195,-177453.650502717,"7",
323931.386378933,-179182.207236176,"7",
324886.641415845,-184549.830776917,"7",
323112.596347295,-191509.546045843,"7",
317881.437811827,-200743.67806932,"7",
312786.744281633,-200880.143074593,"7",
315288.602711639,-193056.149438938,"7",
312968.697621997,-185186.667468191,"7",
309420.607484897,-184094.947426006,"7",
330800.124977678,-182275.414022366,"7",
337623.375241331,-177590.11550799,"7",
344082.718824256,-178044.998858901,"7",
344173.695494438,-182730.297373276,"7",
343718.812143528,-188780.245940382,"7",
331345.98499877,-188825.734275473,"7",
329299.009919674,-203427.489839691,"7",
322430.27132093,-204428.233211693,"7",
318700.227843466,-208021.811683884,"7",
336076.771848236,-213025.528543896,"7",
335803.84183769,-219757.802137367,"7",
328571.196558217,-216892.037026633,"7",
321247.574608563,-214663.108607173,"7",
318927.669518921,-225125.425678108,"7",
321111.10960329,-228218.632464297,"7",
